ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
69 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_5e88d74dbf 3 1 1 512 1 2018-02-18 13:58:37 2018-02-18 14:08:50
70 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_130ceca3e5 1 1 1 512 1 2018-02-18 14:00:52 NULL
71 192.168.0.200 playerVirtual8_6955737 playerVirtual8 192.168.0.200 playerVirtual10 playerVirtual10_cf94e781d7 3 1 1 2048 20 2018-02-18 14:01:29 2018-02-18 14:09:03
72 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_17d4cf6f32 1 1 1 2048 20 2018-02-18 14:02:04 NULL
73 192.168.0.200 playerVirtual12_6955737 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual12_6955737 0 1 1 2048 20 2018-02-18 14:02:25 2018-02-18 14:02:25
74 192.168.0.200 playerVirtual13_1438244924 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_12a6c0d85d 3 1 1 2048 20 2018-02-18 14:02:56 2018-02-18 15:58:04
75 192.168.0.200 playerVirtual10_1438244924 playerVirtual10 192.168.0.200 playerVirtual7 playerVirtual10_1438244924 0 1 1 2048 20 2018-02-18 14:03:29 2018-02-18 14:03:29
76 192.168.0.200 playerVirtual17_794070039 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_053ffa2e10 3 1 1 512 1 2018-02-18 14:03:45 2018-02-18 16:50:10
77 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual19_990694203 0 1 1 2048 20 2018-02-18 14:05:32 2018-02-18 14:05:32
78 192.168.0.200 playerVirtual7_6296865278 playerVirtual7 192.168.0.200 playerVirtual19 playerVirtual19_6cd62cc8c8 1 1 1 512 1 2018-02-18 14:07:14 NULL
79 192.168.0.200 playerVirtual16_182859403 playerVirtual16 192.168.0.200 playerVirtual12 playerVirtual12_dc4848068f 3 1 1 512 1 2018-02-18 14:08:49 2018-02-18 14:15:33
80 192.168.0.200 playerVirtual14_6264344062 playerVirtual14 192.168.0.200 playerVirtual16 playerVirtual16_11c01983ca 1 1 1 2048 20 2018-02-18 14:12:48 NULL
81 192.168.0.200 playerVirtual12_990694203 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_261811716d 3 1 1 2048 20 2018-02-18 14:14:53 2018-02-18 14:20:29
82 192.168.0.200 playerVirtual9_6301942525 playerVirtual9 192.168.0.200 playerVirtual18 playerVirtual18_547ad6f678 1 1 1 512 1 2018-02-18 14:15:34 NULL
83 192.168.0.200 playerVirtual13_5297461910 playerVirtual13 192.168.0.200 playerVirtual10 playerVirtual10_2025325303 3 1 1 512 1 2018-02-18 14:16:30 2018-02-18 15:25:40
84 192.168.0.200 playerVirtual11_1095593 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual11_1095593 0 1 1 512 1 2018-02-18 14:20:04 2018-02-18 14:20:04
85 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_7ec9ead5a1 3 1 2 4096 40 2018-02-18 14:25:13 2018-02-18 17:48:43
86 192.168.0.200 playerVirtual17_2378747961 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_d7e8e78c32 3 1 1 512 1 2018-02-18 14:26:36 2018-02-18 15:50:04
87 192.168.0.200 playerVirtual13_6316827871 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_941aaf4631 1 1 1 512 1 2018-02-18 14:26:52 NULL
88 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_bc10dc95fc 3 1 2 4096 40 2018-02-18 14:27:02 2018-02-18 14:33:57
89 192.168.0.200 playerVirtual8_6289704471 playerVirtual8 192.168.0.200 playerVirtual19 playerVirtual19_732fe96523 1 1 1 2048 20 2018-02-18 14:29:53 NULL
90 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual13_d23f155706 3 1 2 4096 40 2018-02-18 14:30:25 2018-02-18 17:32:30
91 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_18c12583b2 3 1 2 4096 40 2018-02-18 14:30:26 2018-02-18 17:10:22
92 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_499d36e7ad 3 1 2 4096 40 2018-02-18 14:31:10 2018-02-18 16:39:49
93 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_f4a5ea5a41 3 1 2 4096 40 2018-02-18 14:33:15 2018-02-18 17:23:11
94 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual18 playerVirtual18_4e8ce3cf0c 3 1 2 4096 40 2018-02-18 14:38:18 2018-02-18 17:34:31
95 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual10 playerVirtual10_66d719e876 3 1 2 4096 40 2018-02-18 14:41:59 2018-02-18 16:23:49
96 192.168.0.200 playerVirtual13_359920779 playerVirtual13 192.168.0.200 playerVirtual15 playerVirtual15_1292f1225d 1 1 1 512 1 2018-02-18 14:42:13 NULL
97 192.168.0.200 playerVirtual11_6322213339 playerVirtual11 192.168.0.200 playerVirtual17 playerVirtual17_5f0145dec2 1 1 1 512 1 2018-02-18 14:44:33 NULL
98 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_5360e8ea2a 3 1 2 4096 40 2018-02-18 14:51:18 2018-02-18 17:48:43
99 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_9b4e4a9bbb 3 1 2 4096 40 2018-02-18 14:55:04 2018-02-18 17:11:38
100 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual13 playerVirtual13_4b4847cea8 3 1 2 4096 40 2018-02-18 14:55:22 2018-02-18 17:35:04
101 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_615302784d 3 1 2 4096 40 2018-02-18 14:56:18 2018-02-18 17:10:22
102 192.168.0.200 playerVirtual18_6335261139 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_f0774c29f0 1 1 1 512 1 2018-02-18 14:57:08 NULL
