ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
107 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_01219226aa 3 2 4096 40 2018-02-13 22:25:10 2018-02-14 00:05:01
108 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual10 playerVirtual10_b5095fbf1b 3 2 4096 40 2018-02-13 22:26:08 2018-02-14 00:39:11
109 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual4 playerVirtual4_3ccede9314 3 2 4096 40 2018-02-13 22:30:48 2018-02-13 22:41:02
110 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual14 playerVirtual14_3e7f41a81f 3 2 4096 40 2018-02-13 22:31:13 2018-02-14 01:04:18
111 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_55955b0bbf 2 2 4096 40 2018-02-13 22:32:38 2018-02-13 22:34:29
112 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual13 playerVirtual13_ba1a79aabe 3 2 4096 40 2018-02-13 22:34:41 2018-02-13 23:37:50
113 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual6 playerVirtual19_990694203 0 1 2048 20 2018-02-13 22:36:05 2018-02-13 22:36:05
114 192.168.0.200 playerVirtual18_272887063 playerVirtual18 192.168.0.200 playerVirtual15 playerVirtual15_06d506d77e 1 1 2048 20 2018-02-13 22:40:18 NULL
115 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual3 playerVirtual17_4246147567 3 2 4096 40 2018-02-13 22:40:49 2018-02-14 01:14:55
116 192.168.0.200 playerVirtual3_4246147567 playerVirtual3 192.168.0.200 playerVirtual4 playerVirtual4_7730d40c8e 3 2 4096 40 2018-02-13 22:42:28 2018-02-14 00:00:40
117 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual6 playerVirtual4_4246147567 0 2 4096 40 2018-02-13 22:44:46 2018-02-13 22:44:46
118 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual19 playerVirtual19_817b7ed976 3 2 4096 40 2018-02-13 22:50:26 2018-02-14 01:17:00
119 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual18 playerVirtual18_3f38ed9793 3 2 4096 40 2018-02-13 22:55:01 2018-02-14 00:39:11
120 192.168.0.200 playerVirtual11_5297461910 playerVirtual11 192.168.0.200 playerVirtual17 playerVirtual17_cc50068892 3 1 512 1 2018-02-13 22:56:06 2018-02-14 00:45:25
121 192.168.0.200 playerVirtual18_3338579772 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_9b7d8d9205 1 1 2048 20 2018-02-13 22:57:14 NULL
122 192.168.0.200 playerVirtual16_4820150269 playerVirtual16 192.168.0.200 playerVirtual12 playerVirtual12_90613046ae 1 2 4096 40 2018-02-13 22:57:53 NULL
123 192.168.0.200 playerVirtual6_4820150269 playerVirtual6 192.168.0.200 playerVirtual3 playerVirtual3_0e0c138ac2 3 2 4096 40 2018-02-13 23:00:46 2018-02-13 23:11:54
