ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
64 192.168.0.200 playerVirtual13_6280638724 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_6280638724 0 1 512 1 2018-02-12 13:16:10 2018-02-12 13:16:10
65 192.168.0.200 playerVirtual6_6280643141 playerVirtual6 192.168.0.200 playerVirtual15 playerVirtual15_1d377abfd7 3 1 512 1 2018-02-12 13:16:12 2018-02-12 15:22:35
66 192.168.0.200 playerVirtual15_4476462938 playerVirtual15 192.168.0.200 playerVirtual6 playerVirtual6_7854eeb75a 1 1 2048 20 2018-02-12 13:16:27 NULL
67 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual5 playerVirtual5_abd4bae8ee 3 1 2048 20 2018-02-12 13:16:35 2018-02-12 14:55:55
68 192.168.0.200 playerVirtual19_2359368952 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual7_434691d0cd 1 1 512 1 2018-02-12 13:16:38 NULL
69 192.168.0.200 playerVirtual5_1436323714 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_e1b252d54b 1 1 2048 20 2018-02-12 13:16:50 NULL
70 192.168.0.200 playerVirtual9_682797 playerVirtual9 192.168.0.200 playerVirtual12 playerVirtual12_9d1a2d7d22 1 1 2048 20 2018-02-12 13:16:58 NULL
71 192.168.0.200 playerVirtual7_214880781 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_8c97b5665b 1 1 2048 20 2018-02-12 13:17:08 NULL
72 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_d994b43948 1 1 2048 20 2018-02-12 13:17:09 NULL
73 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_191fb7f823 3 1 512 1 2018-02-12 13:17:22 2018-02-12 13:27:43
74 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_5879e1a1c5 1 1 512 1 2018-02-12 13:19:37 NULL
75 192.168.0.200 playerVirtual8_6955737 playerVirtual8 192.168.0.200 playerVirtual10 playerVirtual10_b6aa70b0a5 3 1 2048 20 2018-02-12 13:20:17 2018-02-12 13:27:48
76 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_04052f727b 1 1 2048 20 2018-02-12 13:20:50 NULL
77 192.168.0.200 playerVirtual13_2378747961 playerVirtual13 192.168.0.200 playerVirtual4 playerVirtual4_714b789893 3 1 512 1 2018-02-12 13:21:03 2018-02-12 13:30:30
