ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
67 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_4459e8d2f4 3 1 512 1 2018-02-14 14:33:10 2018-02-14 14:50:20
68 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_68d13e280b 1 1 512 1 2018-02-14 14:35:25 NULL
69 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual10 playerVirtual10_bb30673484 1 1 2048 20 2018-02-14 14:36:38 NULL
70 192.168.0.200 playerVirtual12_3338579772 playerVirtual12 192.168.0.200 playerVirtual11 playerVirtual11_2e3d4b4ecd 3 1 2048 20 2018-02-14 14:37:09 2018-02-14 16:29:14
71 192.168.0.200 playerVirtual17_1436344784 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_dca7a300c6 3 1 2048 20 2018-02-14 14:38:04 2018-02-14 15:27:45
72 192.168.0.200 playerVirtual10_2381571381 playerVirtual10 192.168.0.200 playerVirtual4 playerVirtual10_2381571381 0 1 2048 20 2018-02-14 14:38:13 2018-02-14 14:38:13
73 192.168.0.200 playerVirtual19_794070039 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_bc94623564 3 1 512 1 2018-02-14 14:39:28 2018-02-14 17:12:32
74 192.168.0.200 playerVirtual16_6296268057 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_e1a04358af 1 1 512 1 2018-02-14 14:42:07 NULL
75 192.168.0.200 playerVirtual18_6296865278 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_d096cbafc9 1 1 512 1 2018-02-14 14:42:24 NULL
76 192.168.0.200 playerVirtual4_990694203 playerVirtual4 192.168.0.200 playerVirtual17 playerVirtual17_2cb3c02b37 3 1 2048 20 2018-02-14 14:44:35 2018-02-14 14:47:26
77 192.168.0.200 playerVirtual8_182859403 playerVirtual8 192.168.0.200 playerVirtual12 playerVirtual12_1d2096c648 3 1 512 1 2018-02-14 14:47:48 2018-02-14 14:50:31
78 192.168.0.200 playerVirtual14_6301942525 playerVirtual14 192.168.0.200 playerVirtual9 playerVirtual9_91fa31fed7 1 1 512 1 2018-02-14 14:47:54 NULL
79 192.168.0.200 playerVirtual13_6264344062 playerVirtual13 192.168.0.200 playerVirtual15 playerVirtual15_bb17c86ada 1 1 2048 20 2018-02-14 14:48:52 NULL
80 192.168.0.200 playerVirtual12_5297461910 playerVirtual12 192.168.0.200 playerVirtual16 playerVirtual16_9853c82d52 3 1 512 1 2018-02-14 14:50:32 2018-02-14 16:13:51
81 192.168.0.200 playerVirtual10_1095593 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_4a231e6944 3 1 512 1 2018-02-14 14:51:41 2018-02-14 14:58:39
82 192.168.0.200 playerVirtual9_6289704471 playerVirtual9 192.168.0.200 playerVirtual10 playerVirtual10_729f55769f 3 1 2048 20 2018-02-14 14:51:52 2018-02-14 14:58:26
83 192.168.0.200 playerVirtual19_6274355716 playerVirtual19 192.168.0.200 playerVirtual11 playerVirtual11_7e33427e4a 1 1 512 1 2018-02-14 14:53:12 NULL
84 192.168.0.200 playerVirtual16_908315 playerVirtual16 192.168.0.200 playerVirtual8 playerVirtual8_e89bcfd391 1 1 2048 20 2018-02-14 14:53:57 NULL
85 192.168.0.200 playerVirtual11_182859403 playerVirtual11 192.168.0.200 playerVirtual4 playerVirtual11_182859403 0 1 512 1 2018-02-14 14:55:17 2018-02-14 14:55:17
86 192.168.0.200 playerVirtual13_6315250734 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_738ba42d3c 1 1 512 1 2018-02-14 14:57:19 NULL
87 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_7dd4e20461 3 2 4096 40 2018-02-14 14:59:59 2018-02-14 18:24:27
88 192.168.0.200 playerVirtual17_6316827871 playerVirtual17 192.168.0.200 playerVirtual14 playerVirtual14_122294394f 1 1 512 1 2018-02-14 15:01:01 NULL
89 192.168.0.200 playerVirtual12_2378747961 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual9_d1c547f8cf 3 1 512 1 2018-02-14 15:01:03 2018-02-14 15:59:24
90 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_916a858114 3 1 2048 20 2018-02-14 15:03:51 2018-02-14 15:17:37
91 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual12 playerVirtual12_c9e297c11a 3 2 4096 40 2018-02-14 15:05:11 2018-02-14 15:10:26
92 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual15 playerVirtual15_844bfda24d 3 2 4096 40 2018-02-14 15:06:15 2018-02-14 17:56:28
93 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual16 playerVirtual16_90c08116d5 3 2 4096 40 2018-02-14 15:07:01 2018-02-14 15:09:22
94 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_3e1cf15761 3 2 4096 40 2018-02-14 15:07:03 2018-02-14 18:13:01
95 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual10_a71412d8c8 3 2 4096 40 2018-02-14 15:13:39 2018-02-14 17:43:14
96 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_c8615c6aa7 3 2 4096 40 2018-02-14 15:13:48 2018-02-14 18:19:43
97 192.168.0.200 playerVirtual8_359920779 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_359920779 0 1 512 1 2018-02-14 15:14:14 2018-02-14 15:14:14
98 192.168.0.200 playerVirtual12_6322213339 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_3303dfc851 1 1 512 1 2018-02-14 15:16:04 NULL
99 192.168.0.200 playerVirtual17_1095593 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_6651f317cb 1 1 512 1 2018-02-14 15:16:25 NULL
100 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual14 playerVirtual14_0a32b73b47 3 2 4096 40 2018-02-14 15:23:31 2018-02-14 18:17:05
101 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual10 playerVirtual10_796ad4f473 3 2 4096 40 2018-02-14 15:24:29 2018-02-14 16:26:25
102 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_bb90f3a210 3 2 4096 40 2018-02-14 15:25:39 2018-02-14 18:24:27
103 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual9_04344422df 3 2 4096 40 2018-02-14 15:29:14 2018-02-14 17:03:39
104 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_a0f7d97ea8 3 2 4096 40 2018-02-14 15:31:17 2018-02-14 17:51:15
105 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual12 playerVirtual12_debf738b28 3 2 4096 40 2018-02-14 15:32:20 2018-02-14 17:08:00
106 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual15 playerVirtual15_1912a9a97f 3 2 4096 40 2018-02-14 15:34:08 2018-02-14 17:56:28
107 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_c1faac0ab5 3 2 4096 40 2018-02-14 15:34:12 2018-02-14 18:13:01
108 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_87e15d7f5b 3 2 4096 40 2018-02-14 15:42:08 2018-02-14 18:19:43
109 192.168.0.200 playerVirtual18_6344084916 playerVirtual18 192.168.0.200 playerVirtual11 playerVirtual11_9a0c56b605 1 1 512 1 2018-02-14 15:42:15 NULL
110 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_1fe28d8d9d 3 2 4096 40 2018-02-14 15:45:13 2018-02-14 18:03:57
111 192.168.0.200 playerVirtual10_82730999 playerVirtual10 192.168.0.200 playerVirtual19 playerVirtual19_a106ea393b 1 1 512 1 2018-02-14 15:53:48 NULL
112 192.168.0.200 playerVirtual14_6566788 playerVirtual14 192.168.0.200 playerVirtual10 playerVirtual10_2271ee6836 3 1 2048 20 2018-02-14 15:54:44 2018-02-14 16:06:38
