ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
116 192.168.0.200 playerVirtual9_6566788 playerVirtual9 192.168.0.200 playerVirtual8 playerVirtual8_c359224787 3 1 2048 20 2018-02-13 01:00:04 2018-02-13 01:20:12
117 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_bbcaf07dfa 3 2 4096 40 2018-02-13 01:00:17 2018-02-13 03:23:40
118 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual6 playerVirtual6_724bd7d3fc 3 2 4096 40 2018-02-13 01:05:23 2018-02-13 03:31:20
119 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual19 playerVirtual19_d3c9d14d81 3 2 4096 40 2018-02-13 01:08:06 2018-02-13 01:48:45
120 192.168.0.200 playerVirtual19_272887063 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual7_9bad239d57 1 1 2048 20 2018-02-13 01:09:10 NULL
121 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual12 playerVirtual12_0ab9d4b7f3 3 2 4096 40 2018-02-13 01:12:40 2018-02-13 03:01:11
122 192.168.0.200 playerVirtual7_4246147567 playerVirtual7 192.168.0.200 playerVirtual10 playerVirtual10_8dc783b32c 3 2 4096 40 2018-02-13 01:13:32 2018-02-13 03:13:52
123 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual9 playerVirtual9_768933c831 3 2 4096 40 2018-02-13 01:14:36 2018-02-13 03:12:48
124 192.168.0.200 playerVirtual16_16917741 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_013efb7d65 3 1 512 1 2018-02-13 01:16:27 2018-02-13 02:03:23
125 192.168.0.200 playerVirtual11_3338579772 playerVirtual11 192.168.0.200 playerVirtual15 playerVirtual15_6f6c4610f1 1 1 2048 20 2018-02-13 01:17:06 NULL
126 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual13 playerVirtual13_20d7c4edc7 3 2 4096 40 2018-02-13 01:17:59 2018-02-13 03:34:56
127 192.168.0.200 playerVirtual6_4820150269 playerVirtual6 192.168.0.200 playerVirtual16 playerVirtual16_7b2c9cd425 1 2 4096 40 2018-02-13 01:18:44 NULL
128 192.168.0.200 playerVirtual8_5297461910 playerVirtual8 192.168.0.200 playerVirtual18 playerVirtual18_01d5163fc1 3 1 512 1 2018-02-13 01:19:06 2018-02-13 03:12:46
129 192.168.0.200 playerVirtual16_990694203 playerVirtual16 192.168.0.200 playerVirtual11 playerVirtual11_2d18a1c555 3 1 2048 20 2018-02-13 01:29:07 2018-02-13 01:49:24
130 192.168.0.200 playerVirtual11_6280643141 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_6f65c81f4b 1 1 512 1 2018-02-13 01:31:55 NULL
