ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
89 192.168.0.200 playerVirtual17_2378747961 playerVirtual17 192.168.0.200 playerVirtual9 playerVirtual9_0afd229c7f 3 1 512 1 2018-02-13 04:50:41 2018-02-13 06:15:33
90 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual12 playerVirtual12_de1e088b8c 3 2 4096 40 2018-02-13 04:50:44 2018-02-13 08:10:41
91 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_cce05c9a21 3 2 4096 40 2018-02-13 04:51:59 2018-02-13 07:03:08
92 192.168.0.200 playerVirtual8_6289704471 playerVirtual8 192.168.0.200 playerVirtual14 playerVirtual14_ccd57fae3c 1 1 2048 20 2018-02-13 04:54:07 NULL
93 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_a8d5b4b44d 3 2 4096 40 2018-02-13 04:54:39 2018-02-13 06:56:20
94 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_d0ca41b3bc 3 2 4096 40 2018-02-13 04:55:42 2018-02-13 07:56:08
95 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_078773403f 3 2 4096 40 2018-02-13 04:57:29 2018-02-13 08:02:55
96 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual18 playerVirtual18_e0fff39942 3 2 4096 40 2018-02-13 05:02:33 2018-02-13 08:13:42
97 192.168.0.200 playerVirtual18_1095593 playerVirtual18 192.168.0.200 playerVirtual8 playerVirtual8_4b1696fbdd 3 1 512 1 2018-02-13 05:03:27 2018-02-13 07:57:42
98 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual13 playerVirtual13_3f8dcd933f 3 2 4096 40 2018-02-13 05:05:02 2018-02-13 06:47:15
99 192.168.0.200 playerVirtual17_359920779 playerVirtual17 192.168.0.200 playerVirtual9 playerVirtual9_2c63d018b4 3 1 512 1 2018-02-13 05:06:22 2018-02-13 08:12:48
100 192.168.0.200 playerVirtual19_6322213339 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_2c5d092696 1 1 512 1 2018-02-13 05:06:48 NULL
101 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual15 playerVirtual15_0236748eff 3 2 4096 40 2018-02-13 05:15:19 2018-02-13 08:11:09
102 192.168.0.200 playerVirtual18_6335261139 playerVirtual18 192.168.0.200 playerVirtual12 playerVirtual12_cccc018ef7 1 1 512 1 2018-02-13 05:15:51 NULL
103 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_ac071af431 3 2 4096 40 2018-02-13 05:16:18 2018-02-13 07:50:42
104 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_d00c1b9b13 3 2 4096 40 2018-02-13 05:17:15 2018-02-13 07:03:08
105 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_5d4542ae37 3 2 4096 40 2018-02-13 05:20:20 2018-02-13 06:56:20
106 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_1000024a67 3 2 4096 40 2018-02-13 05:23:07 2018-02-13 07:56:08
