ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
111 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual8 playerVirtual8_0a820a19de 3 2 4096 40 2018-02-15 17:02:41 2018-02-15 19:40:58
112 192.168.0.200 playerVirtual18_6344084916 playerVirtual18 192.168.0.200 playerVirtual6 playerVirtual18_6344084916 0 1 512 1 2018-02-15 17:08:02 2018-02-15 17:08:02
113 192.168.0.200 playerVirtual9_6566788 playerVirtual9 192.168.0.200 playerVirtual1 playerVirtual1_fb1f6faa7d 2 1 2048 20 2018-02-15 17:11:11 2018-02-15 17:31:33
114 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual19 playerVirtual19_47a431001d 1 2 4096 40 2018-02-15 17:16:33 NULL
115 192.168.0.200 playerVirtual6_272887063 playerVirtual6 192.168.0.200 playerVirtual9 playerVirtual6_272887063 0 1 2048 20 2018-02-15 17:17:59 2018-02-15 17:17:59
116 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_d5d02c8173 3 2 4096 40 2018-02-15 17:20:05 2018-02-15 19:46:35
117 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_50ba297d5d 3 2 4096 40 2018-02-15 17:26:19 2018-02-15 17:40:02
118 192.168.0.200 playerVirtual6_3338579772 playerVirtual6 192.168.0.200 playerVirtual11 playerVirtual6_3338579772 0 1 2048 20 2018-02-15 17:27:41 2018-02-15 17:27:41
119 192.168.0.200 playerVirtual11_16917741 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_9796ce6698 3 1 512 1 2018-02-15 17:28:00 2018-02-15 18:34:14
120 192.168.0.200 playerVirtual16_6566788 playerVirtual16 192.168.0.200 playerVirtual13 playerVirtual13_1d84689fe7 1 1 2048 20 2018-02-15 17:28:01 NULL
121 192.168.0.200 playerVirtual8_4820150269 playerVirtual8 192.168.0.200 playerVirtual15 playerVirtual15_bea8621568 3 2 4096 40 2018-02-15 17:29:58 2018-02-15 17:43:09
122 192.168.0.200 playerVirtual13_82730999 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_c23ef2fc73 1 1 512 1 2018-02-15 17:31:21 NULL
123 192.168.0.200 playerVirtual1_4820150269 playerVirtual1 192.168.0.200 playerVirtual6 playerVirtual6_ff5ec36487 1 2 4096 40 2018-02-15 17:32:36 NULL
124 192.168.0.200 playerVirtual13_1438244924 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_5c2003bd36 1 1 2048 20 2018-02-15 17:36:11 NULL
125 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual14 playerVirtual14_fe027a59b0 3 2 4096 40 2018-02-15 17:39:39 2018-02-15 18:28:34
126 192.168.0.200 playerVirtual11_990694203 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_bedc18da78 3 1 2048 20 2018-02-15 17:42:48 2018-02-15 18:00:58
127 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_6b6eb9f7ff 3 2 4096 40 2018-02-15 17:45:28 2018-02-15 19:40:58
128 192.168.0.200 playerVirtual12_1436344784 playerVirtual12 192.168.0.200 playerVirtual19 playerVirtual19_7dd9773559 1 1 2048 20 2018-02-15 17:47:16 NULL
129 192.168.0.200 playerVirtual14_6280643141 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_adccac4b06 1 1 512 1 2018-02-15 17:51:06 NULL
130 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual12 playerVirtual12_c376b5920a 1 2 4096 40 2018-02-15 17:51:06 NULL
131 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual8 playerVirtual19_4246147567 0 2 4096 40 2018-02-15 17:59:24 2018-02-15 17:59:24
132 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual13 playerVirtual13_01f9f7945d 1 2 4096 40 2018-02-15 18:04:16 NULL
133 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual15 playerVirtual15_b9f2969984 3 2 4096 40 2018-02-15 18:05:28 2018-02-15 19:46:35
134 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual6 playerVirtual13_4246147567 0 2 4096 40 2018-02-15 18:05:59 2018-02-15 18:05:59
135 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual16 playerVirtual16_8e62c6311c 3 2 4096 40 2018-02-15 18:14:32 2018-02-15 18:28:34
136 192.168.0.200 playerVirtual16_2378747961 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_581cd2e493 1 1 512 1 2018-02-15 18:15:55 NULL
137 192.168.0.200 playerVirtual1_4820318661 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_139998d7a0 1 2 4096 40 2018-02-15 18:21:26 NULL
138 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual1 playerVirtual6_4246147567 0 2 4096 40 2018-02-15 18:25:28 2018-02-15 18:25:28
139 192.168.0.200 playerVirtual18_2148750930 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_56f63c520a 1 1 2048 20 2018-02-15 18:27:49 NULL
140 192.168.0.200 playerVirtual12_16917741 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual12_16917741 0 1 512 1 2018-02-15 18:35:31 2018-02-15 18:35:31
141 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual12 playerVirtual12_0f3da13e45 1 2 4096 40 2018-02-15 18:42:15 NULL
142 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_aa547a432c 3 2 4096 40 2018-02-15 18:43:31 2018-02-15 19:46:35
143 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual6 playerVirtual6_3445b2e1d7 3 2 4096 40 2018-02-15 18:43:37 2018-02-15 19:40:58
144 192.168.0.200 playerVirtual18_990694203 playerVirtual18 192.168.0.200 playerVirtual13 playerVirtual13_ed17430eff 3 1 2048 20 2018-02-15 18:50:52 2018-02-15 19:07:53
145 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual16 playerVirtual16_93e66b2f5c 1 2 4096 40 2018-02-15 18:51:50 NULL
146 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_ccf55b7442 3 2 4096 40 2018-02-15 18:53:53 2018-02-15 19:12:31
147 192.168.0.200 playerVirtual12_539194189 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_4ee2a5f181 1 1 2048 20 2018-02-15 19:01:48 NULL
148 192.168.0.200 playerVirtual6_794070039 playerVirtual6 192.168.0.200 playerVirtual11 playerVirtual6_794070039 0 1 512 1 2018-02-15 19:04:01 2018-02-15 19:04:01
